Description,Type,Start Point (WKT),End Point (WKT)
Bradford FS to Frizinghall,Rail Line,POINT(-1.7528312 53.7969192),POINT(-1.7689584 53.8203108)
Frizinghall to Shipley South Jn,Rail Line,POINT(-1.7689584 53.8203108),POINT(-1.7739234 53.8322504)
Shipley South Jn to SW Jn,Rail Line,POINT(-1.7739234 53.8322504),POINT(-1.7757089 53.8343682)
Shipley South Jn to Dockfields Jn,Rail Line,POINT(-1.7739234 53.8322504),POINT(-1.7659261 53.8368242)
Shipley West Jn to Dockfields Jn,Rail Line,POINT(-1.7757089 53.8343682),POINT(-1.7659261 53.8368242)
Dockfields Jn to Shipley West Jn,Rail Line,POINT(-1.7659261 53.8368242),POINT(-1.7757089 53.8343682)
Shipley West Jn to Saltaire,Rail Line,POINT(-1.7757089 53.8343682),POINT(-1.7907973 53.8385598)
Saltaire to Bingley,Rail Line,POINT(-1.7907973 53.8385598),POINT(-1.837164 53.8487153)
Bingley to Crossflatts,Rail Line,POINT(-1.837164 53.8487153),POINT(-1.844476 53.858299)
Crossflatts to Keighley,Rail Line,POINT(-1.844476 53.858299),POINT(-1.9013628 53.867932)
Keighley to Steeton,Rail Line,POINT(-1.9013628 53.867932),POINT(-1.9448075 53.9000518)
Dockfield Jn to Apperly Bridge,Rail Line,POINT(-1.7659261 53.8368242),POINT(-1.7070712 53.8420442)
Applerly Bridge to Kirkstall Forge,Rail Line,POINT(-1.7070712 53.8420442),POINT(-1.627075 53.8253007)
Kirkstall Forge To Leeds,Rail Line,POINT(-1.627075 53.8253007),POINT(-1.5491018 53.7943021)
Bradford Interchange to Mill Lane Jn,Rail Line,POINT(-1.7490903 53.7908656),POINT(-1.7489828 53.7861131)
Mill Lane Jn to Low Moor,Rail Line,POINT(-1.7489828 53.7861131),POINT(-1.7523839 53.7501367)
Low Moor to Halifax,Rail Line,POINT(-1.7523839 53.7501367),POINT(-1.8536537 53.7208359)
Halifax to Sowerby Bridge,Rail Line,POINT(-1.8536537 53.7208359),POINT(-1.9072266 53.7078483)
Sowerby Bridge to Mytholmroyd,Rail Line,POINT(-1.9072266 53.7078483),POINT(-1.981754 53.7290783)
Mytholmroyd to Hebden Bridge,Rail Line,POINT(-1.981754 53.7290783),POINT(-2.0089468 53.7376543)
Hebden Bridge to Todmorden,Rail Line,POINT(-2.0089468 53.7376543),POINT(-2.0997573 53.713858)
Mill Lane Jn to New Pudsey,Rail Line,POINT(-1.7489828 53.7861131),POINT(-1.6805365 53.8046713)
New Pudsey to Bramley,Rail Line,POINT(-1.6805365 53.8046713),POINT(-1.6374827 53.8054366)
Bramley to Leeds,Rail Line,POINT(-1.6374827 53.8054366),POINT(-1.5491018 53.7943021)
